Date : 2024-12-01 15:18:21
Directory : d:\Unity\EightDiagramCard\Assets\Scripts
Total : 88 files,  3141 codes, 182 comments, 458 blanks, all 3781 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         88 |      3,141 |        182 |        458 |      3,781 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |         88 |      3,141 |        182 |        458 |      3,781 |
| Cards                                                                                   |          5 |        495 |         28 |         60 |        583 |
| Cards\MonoBehaviour                                                                     |          3 |        453 |         27 |         57 |        537 |
| Cards\ScriptableObjects                                                                 |          2 |         42 |          1 |          3 |         46 |
| Characters                                                                              |          7 |        312 |         17 |         52 |        381 |
| Characters\MonoBehaviour                                                                |          5 |        287 |         17 |         46 |        350 |
| Characters\ScriptableObject                                                             |          2 |         25 |          0 |          6 |         31 |
| Diagrams                                                                                |          2 |         67 |          1 |         12 |         80 |
| Diagrams\MonoBehaviour                                                                  |          1 |         39 |          1 |          7 |         47 |
| Diagrams\ScriptableObjects                                                              |          1 |         28 |          0 |          5 |         33 |
| Effects                                                                                 |         33 |        497 |         31 |         73 |        601 |
| Effects (Files)                                                                         |          2 |         21 |          5 |          3 |         29 |
| Effects\CardEffects                                                                     |         16 |        222 |         16 |         32 |        270 |
| Effects\DiagramEffects                                                                  |          7 |        148 |         10 |         22 |        180 |
| Effects\EnemyIntends                                                                    |          8 |        106 |          0 |         16 |        122 |
| Events                                                                                  |          9 |        155 |          2 |         29 |        186 |
| Events\Editor                                                                           |          3 |         61 |          0 |          9 |         70 |
| Events\MonoBehaviour                                                                    |          3 |         41 |          2 |         12 |         55 |
| Events\ScriptableObject                                                                 |          3 |         53 |          0 |          8 |         61 |
| Managers                                                                                |          9 |        390 |         38 |         63 |        491 |
| UI                                                                                      |         13 |        880 |         51 |        130 |      1,061 |
| Utilities                                                                               |          9 |        331 |         13 |         38 |        382 |
| Variable                                                                                |          1 |         14 |          1 |          1 |         16 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\MonoBehaviour\Card.cs                    | C#       |        118 |          8 |         19 |        145 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\MonoBehaviour\CardDeck.cs                | C#       |        268 |         17 |         28 |        313 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\MonoBehaviour\CardDragHandler.cs         | C#       |         67 |          2 |         10 |         79 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\ScriptableObjects\CardDataSO.cs          | C#       |         14 |          1 |          2 |         17 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Cards\ScriptableObjects\CardDeckSO.cs          | C#       |         28 |          0 |          1 |         29 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Characters\MonoBehaviour\CharacterBase.cs      | C#       |        162 |         14 |         24 |        200 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Characters\MonoBehaviour\EnemyArrangement.cs   | C#       |         26 |          0 |          5 |         31 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Characters\MonoBehaviour\EnemyBase.cs          | C#       |         47 |          2 |          5 |         54 |
| d:\Unity\EightDiagramCard\Assets\Scripts\Characters\MonoBehaviour\Grass.cs              | C#       |         21 |          1 |          3 |         25 |
